date;review;rating;isEdited;userName;title;app_name;developerResponse
2018-09-15 08:26:29;"An sich eine echt perfekte App. Allerdings wird mit der Häufigkeit der Werbung, die über die komplette Seite angezeigt wird, übertrieben. Schade eigentlich.
So kann man halt nicht mal in Ruhe einen Artikel fertig lesen.";3.0;False;849294782;Zu viel Werbung;rodauapp;
2022-01-13 08:01:30;"Ich habe mich gewundert warum der Tag für Altpapier nicht sichtbar ist, aber das liegt daran, dass Altpapier fast das gleiche Blau hat wie die Hintergrundfarbe.
Also bitte etwas dunkler machen oder eine andere Farbe verwenden . Danke - ansonsten bin ich zufrieden mit der App, muss mich erst dran gewöhnen, aber macht einen guten Eindruck bisher.";4.0;False;Killefix;Altpapier im Abfallkalender gleiche Farbe wie Hintergrund;rodauapp;
2022-01-24 14:39:32;"Die alte App war einfach nur grottig. 
Mit dieser Version ist die Übersicht und die Navigation revolutioniert worden. 
Ich finde alles auf Anhieb. 
ABER: die Altpapier Termine stimmen nicht für meine Adresse !";4.0;False;TerrorTux;Eine Riesen Verbesserung;rodauapp;
2021-12-30 08:03:11;"Aktuelle Version zeigt keine Restmüll Abholungen an .. Bitte beheben .
Danke";3.0;False;Warum schlechter machen ?;Restmüll wird nicht angezeigt;rodauapp;
2016-11-02 10:20:57;"Hallo,
die App finde ich als Bürger sehr gut. Endlich kommt die Stadt mal in Richtung moderner Technik. Defekte Laternen, wilder Müll, Straßenschäden kann man mit wenigen Klicks sofort melden und sich auch über den aktuellen Sachstand informieren. 
Die Anzeige des Abfallkalender ist ebenfalls praktisch, genauso wie die Benachrichtigung per SMS/Mail. Da würde ich mir aber die Verbesserung zur Push Benachrichtigung wünschen. Somit müsste man sich nicht separat dafür registrieren. 
Die Mitteilung des Stromzählerstands funktioniert ebenfalls sehr einfach. 
Alles in allem gut gelungen mit bis jetzt mir nur einer aufgefallenen kleinen Verbesserung (Push-Benachrichtigung) 😊";4.0;False;Ph4lanx;Praktische App, einfach zu bedienen;rodauapp;
2022-01-12 17:25:51;"Nach dem Relauch der App hat sich ihre Qualität extrem verschlechtert. Die App ist extrem unübersichtlich, vieles nicht oder nur schwer zu finden. In manchen Teilen wird einfach auf eine Webseite verlinkt – warum die Funktion nicht einfach in der App spiegeln?
In manchen Teilen wird der halbe Bildschirm durch ein statisches Fenster verdeckt und es bleibt nur eingeschränkt der Bereich und den Informationstext zu scrollen.
Eine Störungsmeldung zu einem defekten Ampelanlage hat nur ein sehr kleines, einzeiliges Feld für eine Anmerkung, obwohl der halbe Bildschirm frei ist. Anstatt die Meldung aus der App zu versenden wird eine Mail für mein Mail Programm generiert.
Meine Daten zu Ermittlung von Zähler ständen wurden mit dem Update gelöscht und ich muss mich komplett neu anmelden. Ob allem auch meine vorherigen Erfassung verschwunden sind bleibt unklar.

Ich frag mich echt wie man eine App durch einen Relaunch so sehr verschlechtern kann.";1.0;False;Daiquiri-Man;Nach Relaunch 2022 extrem verschlechtert;rodauapp;
2016-07-02 07:23:25;Sehr schön gemacht weiter so !!;4.0;False;elektro-elvis;Sehr schön;rodauapp;
2016-07-08 20:35:56;"Diese App ist wirklich durchdacht und deckt viele Kategorien ab.
Man kann in der App Sperrmüll anmelden, nachsehen wann und wo es Veranstaltungen gibt,welche Vereine es gibt,wo Kleidercontainer etc. stehen und vieles mehr.

Gelungenes Design und sehr hilfreich.";5.0;False;timmemaster;Tolle App mit vielen nützlichen Kategorien;rodauapp;
2016-07-07 06:18:35;Sehr nützliche App für alle Bewohner von Rodgau. Gelungene Umsetzung bezüglich Bedienbarkeit und Design. Weiter so!;5.0;False;s.sach;Nützliche App;rodauapp;
2021-04-13 17:22:07;Die Löwenbündel-App bietet schon zum Start einen sehr guten Überblick über das Leben ins Braunschweig.;5.0;False;Virtualbeetle;Die App für Braunschweig. Eine für (fast) alles.;löwenbündel;
